cluster_id,class_auto,subtype_auto,neuropeptide_auto,top_enriched_genes,top_regions,top_dissections
328,NEUR,,ADCYAP CHGA CHGB NAMPT NUCB NXPH SCG TAC VGF proSAAS,"LINC00410, PITX2, AL691420.1, SIM1, LHX1-DT, FOXB1, AC087664.2, TNFRSF11B, LHX1, FSHR","Hypothalamus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%","Human MN: 40.4%, Human HTHma: 29.5%, Human HTHtub: 26.0%"
329,NEUR,,ADCYAP CBLN CHGA CHGB IGF NAMPT NUCB NXPH SCG TAC UBL proSAAS,"SIM1, AL691420.1, FOXB1, PITX2, AC244258.1, LHX1-DT, ADGRL4, DAPL1, ANXA3, AC093912.1","Hypothalamus: 99.7%, Midbrain: 0.3%, Thalamus: 0.1%","Human HTHma-HTHtub: 33.4%, Human HTHtub: 25.8%, Human MN: 23.5%"
330,NEUR,,ADCYAP CBLN CHGA CHGB NAMPT NUCB NXPH SCG TAC TRH UBL VGF proSAAS,"AC244258.1, AL691420.1, PITX2, FOXB1, SIM1, ANXA3, LHX1-DT, AC087664.2, AC093912.1, LHX1","Hypothalamus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%","Human MN: 44.6%, Human HTHma-HTHtub: 36.1%, Human HTHma: 19.2%"
331,NEUR,,ADCYAP CBLN CCK CHGA CHGB NAMPT NUCB NXPH SCG TAC UBL VGF proSAAS,"PITX2, SIM1, PANCR, AC083837.1, FOXB1, AL691420.1, LHX1-DT, C14orf39, PKHD1L1, NPSR1","Hypothalamus: 96.6%, Midbrain: 2.3%, Cerebral cortex: 1.1%","Human MN: 45.7%, Human HTHma: 22.9%, Human HTHma-HTHtub: 18.9%"
332,NEUR,,ADCYAP CCK CHGA CHGB NAMPT NUCB NXPH SCG TAC UBL proSAAS,"SIM1, FOXB1, PITX2, LHX1-DT, FRMPD2, LHX1, ANXA3, AC012501.2, AC083837.1, AL691420.1","Hypothalamus: 99.9%, Thalamus: 0.1%, Cerebral cortex: 0.0%","Human MN: 44.7%, Human HTHma: 37.0%, Human HTHtub: 9.6%"
333,NEUR,,ADCYAP CBLN CHGA CHGB NAMPT NUCB NXPH SCG SST TAC UBL proSAAS,"SIM1, AC244258.1, LHX1-DT, LTBP1, FOXB1, ZFHX4-AS1, CD36, LHX1, PMFBP1, PITX2","Hypothalamus: 97.7%, Cerebral cortex: 1.0%, Thalamus: 0.8%","Human HTHma-HTHtub: 36.0%, Human HTHtub: 28.7%, Human MN: 27.0%"
334,NEUR,,ADCYAP CART CBLN CCK CHGB CRH NAMPT NMU NUCB NXPH SCG TAC UBL VGF proSAAS,"GNG8, GPR151, LINC01307, CHRNB3, POU4F1, SLC5A7, SCUBE1, TRPM8, ACOXL, F13A1","Thalamus: 91.7%, Midbrain: 8.2%, Pons: 0.1%","Human ETH: 62.8%, Human MD-Re: 27.9%, Human SC: 6.3%"
335,NEUR,,ADCYAP CBLN CHGA CHGB CRH IGF NAMPT NUCB PENK PTHLH SCG SST UBL VGF proSAAS,"HSPD1P8, AC092445.1, LINC00331, POU4F1, TES, HOXD3, AC096773.1, PDLIM1, AC093772.1, LINC00581","Medulla: 78.3%, Pons: 15.9%, Midbrain: 4.8%","Human IO: 70.8%, Human PnRF: 13.5%, Human MoSR: 3.2%"
336,NEUR,,AGT CBLN CCK CHGA CHGB GAL NAMPT NPPC NTS NUCB NXPH POMC SCG SST UBL proSAAS,"NKX6-1, FAM83B, ASAH2, LINC00261, EBF3, SIM1, ONECUT1, FOXA2, AC024230.1, AC079148.3","Midbrain: 91.5%, Thalamus: 8.1%, Medulla: 0.3%","Human SN-RN: 59.7%, Human PAG: 18.3%, Human CM-Pf: 7.7%"
337,NEUR,,CALCB CHGA CHGB IGF NAMPT NPPC NUCB NXPH PNOC POMC PYY SCG UBL VGF proSAAS,"ONECUT1, ASAH2, AC016044.1, LHX1-DT, KANK4, LINC00922, LINC02520, ZNF676, LHX1, MARCHF11-AS1","Basal forebrain: 81.9%, Midbrain: 17.6%, Hypothalamus: 0.5%","Human GPi: 53.9%, Human GPe: 26.4%, Human SN: 16.1%"
338,NEUR,,CBLN CHGA CHGB NAMPT NUCB NXPH SCG UBL proSAAS,"LINC02058, AC004080.1, FSHR, HOXD3, ASAH2, EBF1, PPP1R1C, HOXB3, IGFBP7, LNCTAM34A","Medulla: 99.1%, Basal forebrain: 0.6%, Pons: 0.3%","Human MoAN: 53.4%, Human MoSR: 34.0%, Human MoRF-MoEN: 11.7%"
339,NEUR,,CHGA CHGB NAMPT NUCB NXPH PENK SCG TAC UBL VGF proSAAS,"SLC6A5, GLRA1, LINC01956, LGI2, EN1, LINC01798, ADGRD2, ASAH2, HOXB-AS1, MAB21L2","Pons: 99.4%, Medulla: 0.4%, Midbrain: 0.2%","Human DTg: 39.1%, Human PnRF: 35.2%, Human PB: 16.6%"
340,NEUR,,CBLN CCK CHGA CHGB IGF NAMPT NUCB NXPH SCG UBL VGF proSAAS,"PTH2, ONECUT1, LHX9, MAB21L2, PRDM6, AC016044.1, DLK1, LINC01798, C1QL1, ONECUT3","Pons: 88.3%, Midbrain: 9.5%, Thalamus: 1.6%","Human PB: 67.1%, Human DTg: 14.6%, Human PnEN: 5.1%"
341,NEUR,,CBLN CHGA CHGB NAMPT NUCB SCG UBL UCN proSAAS,"EBF2, EBF3, AC079160.1, EBF1, DRGX, LINC01798, LINC01645, CNGA3, AC096719.1, LBX1-AS1","Pons: 98.8%, Medulla: 1.2%, Cerebral cortex: 0.0%","Human DTg: 81.3%, Human PnEN: 11.1%, Human PnAN: 4.7%"
342,NEUR,,ADCYAP ADM CBLN CHGA CHGB IGF NAMPT NUCB NXPH PYY SCG SPX UBL UCN VGF proSAAS,"ASAH2, VENTXP1, AF130359.1, LTBP2, LINC01036, AC090993.1, AC007614.1, LINC01524, DIAPH3, AC087855.2","Cerebellum: 97.0%, Pons: 1.8%, Midbrain: 0.8%","Human CbDN: 97.0%, Human PnAN: 1.0%, Human PB: 0.6%"
343,NEUR,,CBLN CHGA CHGB NAMPT NPPC NTS NUCB SCG SST TRH UBL proSAAS,"EBF2, DRGX, LMX1B, EBF1, MAFA, EBF3, HOXB7, HOXB3, AC024230.1, HOXD3","Medulla: 57.2%, Spinal cord: 34.1%, Pons: 5.9%","Human MoAN: 47.7%, Human SpC: 34.1%, Human MoSR: 9.2%"
344,CHRP NEUR,,ADCYAP CBLN CHGA CHGB NAMPT NPFF NPPC NUCB NXPH SCG SST UBL proSAAS,"LMX1B, EBF3, EBF1, PHOX2B-AS1, HOXB3, AC009411.2, EBF2, AC018742.1, PHOX2B, TLX3","Medulla: 61.0%, Spinal cord: 21.9%, Pons: 14.9%","Human MoAN: 29.1%, Human SpC: 21.9%, Human MoRF-MoEN: 17.3%"
345,NEUR,,ADCYAP CALCB CBLN CHGA CHGB GRP NAMPT NMB NMU NPB NPPC NUCB PENK SCG SST TAC UBL proSAAS,"LMX1B, DRGX, SKOR2, HOXB7, HOXB3, EBF3, EBF2, EBF1, TLX3, HOXD3","Medulla: 52.3%, Spinal cord: 35.4%, Midbrain: 6.8%","Human MoAN: 42.2%, Human SpC: 35.4%, Human MoSR: 9.3%"
346,NEUR,,ADCYAP CBLN CHGA CHGB NAMPT NUCB NXPH PDYN PENK SCG SST TAC UBL proSAAS,"LMX1B, HOXB3, HOXD3, AL161908.1, POU4F1, EBF3, HOXB7, HSPD1P8, NHLH1, TAC3","Medulla: 60.2%, Spinal cord: 39.4%, Pons: 0.3%","Human SpC: 39.4%, Human MoAN: 34.3%, Human MoSR: 22.4%"
347,NEUR,,CCK CHGA CHGB NAMPT NPPC NUCB NXPH PDYN PNOC SCG SST UBL proSAAS,"PAX2, HOXB3, EBF3, NPPC, SLC6A5, HOXB7, AC024230.1, HOXB-AS3, PAX8, PDYN","Medulla: 68.6%, Spinal cord: 29.3%, Pons: 0.9%","Human MoAN: 33.4%, Human SpC: 29.3%, Human MoSR: 21.6%"
348,NEUR,,CHGA CHGB NAMPT NPPC NPY NUCB NXPH PENK PNOC SCG SST UBL VGF proSAAS,"HOXB3, PAX2, GBX1, HOXD3, GPC3, PAX8, NPPC, HOXB7, SLC6A5, SALL3","Medulla: 65.6%, Spinal cord: 26.9%, Pons: 6.0%","Human MoAN: 39.0%, Human SpC: 26.9%, Human MoSR: 19.3%"
349,NEUR,,CHGA CHGB NAMPT NPPC NPY NUCB NXPH PNOC SCG SST TAC UBL VGF proSAAS,"SLC6A5, PAX2, HOXB3, HOXD3, PAX8, LINC00540, HOXB2, HOXA3, MAB21L2, GBX2","Medulla: 84.7%, Spinal cord: 12.7%, Pons: 1.7%","Human MoRF-MoEN: 42.5%, Human MoAN: 28.5%, Human MoSR: 13.7%"
350,NEUR,,CART CHGA CHGB NAMPT NUCB NXPH PENK PNOC SCG UBL VGF proSAAS,"SLC6A5, HOXB3, SKOR2, TFAP2A, LBX1-AS1, CRABP1, HOXA3, MAB21L2, HOXB2, HOXD3","Medulla: 98.2%, Spinal cord: 1.0%, Pons: 0.7%","Human MoRF-MoEN: 48.6%, Human MoAN: 35.1%, Human MoSR: 14.5%"
351,NEUR,,CBLN CHGA CHGB IGF NAMPT NUCB NXPH PNOC SCG SST TAC UBL VGF proSAAS,"LINC00261, FOXA2, TM4SF18, NDNF, PAX5, LINC01956, EMX2OS, ASAH2, EBF3, EMX2","Midbrain: 90.0%, Thalamus: 8.2%, Hypothalamus: 1.3%","Human SN-RN: 27.9%, Human PAG: 19.7%, Human PTR: 13.1%"
352,,,CHGA CHGB NAMPT NPPC NUCB NXPH PNOC SCG UBL proSAAS,"LHX1, EBF1, EBF3, GATA3, TRAC, GATA3-AS1, PVALB, HAS2-AS1, HAS2, LHX1-DT","Midbrain: 97.3%, Pons: 0.9%, Medulla: 0.8%","Human SC: 81.8%, Human IC: 10.4%, Human PAG-DR: 2.7%"
353,NEUR,,CBLN CHGA CHGB NAMPT NMB NPB NPY NUCB NXPH PENK PNOC POMC SCG TAC UBL VGF proSAAS,"GATA3, FABP4, HPGD, LHX5-AS1, NPY, GATA3-AS1, LINC00237, AC096751.2, AL138899.1, NDNF","Thalamus: 97.2%, Midbrain: 2.2%, Hypothalamus: 0.5%","Human LG: 93.9%, Human VLN: 1.4%, Human CM-Pf: 1.1%"
354,NEUR,,CBLN CHGA CHGB IGF NAMPT NMU NPPC NPY NUCB NXPH PNOC SCG TAC UBL UCN VGF proSAAS,"GATA3, LHX1, LHX1-DT, LHX5-AS1, GATA3-AS1, ASAH2, ST8SIA6, SAMD11, SIX3, GATA2","Midbrain: 86.4%, Thalamus: 9.6%, Pons: 2.2%","Human PTR: 31.6%, Human SN-RN: 20.7%, Human SN: 19.1%"
355,NEUR,,CBLN CCK CHGA CHGB NAMPT NPPC NPY NUCB NXPH PENK PNOC SCG TAC UBL VGF proSAAS,"PAX5, GATA3, LINC01956, LHX5-AS1, LINC01497, PAX7, LINC01210, GATA3-AS1, GATA2, LHX1","Midbrain: 87.7%, Pons: 9.3%, Thalamus: 2.4%","Human IC: 35.8%, Human SC: 26.8%, Human PTR: 14.3%"
356,NEUR,,CBLN CCK CHGA CHGB IGF NAMPT NUCB NXPH PNOC SCG SST UBL VGF proSAAS,"MECOM, COL8A1, GATA3, LHX5-AS1, AC005100.1, GATA3-AS1, LMO1, EBF3, GATA2, TFAP2A","Midbrain: 67.5%, Pons: 20.1%, Thalamus: 9.5%","Human PTR: 30.3%, Human IC: 11.1%, Human SC: 8.1%"
357,NEUR,,CHGA CHGB NAMPT NMU NPPC NUCB NXPH PENK PNOC SCG UBL VGF proSAAS,"TFAP2B, EMX2, LINC01497, PAX7, EMX2OS, FAM9B, GATA3, AC005208.1, LEF1, LHX5-AS1","Midbrain: 97.4%, Pons: 1.6%, Thalamus: 0.9%","Human SC: 32.6%, Human PTR: 30.3%, Human PAG: 17.5%"
358,NEUR,,CBLN CCK CHGA CHGB NAMPT NMU NPPC NUCB NXPH PENK PNOC SCG TAC UBL VGF proSAAS,"TFAP2B, PAX3, GATA3, LINC01497, PAX7, AC005208.1, TFAP2A, LHX5-AS1, GATA3-AS1, AC025946.1","Midbrain: 91.5%, Thalamus: 7.8%, Pons: 0.4%","Human SC: 30.4%, Human PTR: 26.0%, Human PAG: 14.0%"
359,NEUR,,CCK CHGA CHGB NAMPT NPPC NUCB NXPH SCG SST UBL VGF proSAAS,"TFAP2B, PAX7, GATA3, TFAP2A, ADAMTS20, LHX5-AS1, EMX2, LINC01210, GATA3-AS1, AC025946.1","Midbrain: 99.1%, Thalamus: 0.4%, Pons: 0.3%","Human SC: 70.1%, Human IC: 14.3%, Human PTR: 8.5%"
360,NEUR,,CHGA CHGB NAMPT NPPC NUCB SCG TAC UBL proSAAS,"IGFL1, AP000146.1, LINC01692, OTX2, GATA3, IRX2, DMBX1, COL6A2, IRX3, FST","Midbrain: 99.1%, Pons: 0.8%, Thalamus: 0.1%","Human SC: 87.1%, Human IC: 10.6%, Human PTR: 0.6%"
361,NEUR,,CBLN CCK CHGA CHGB IGF NAMPT NUCB NXPH PNOC SCG TAC UBL VGF proSAAS,"LINC01497, GATA3, AC005208.1, KCNJ16, GATA2, AC074099.1, LINC01876, LHX5-AS1, SIX3, LHX1","Midbrain: 83.4%, Thalamus: 14.3%, Pons: 1.8%","Human PTR: 49.6%, Human PAG: 14.9%, Human ETH: 8.9%"
362,NEUR,,CHGA CHGB NAMPT NMU NUCB NXPH PNOC SCG TAC UBL VGF proSAAS,"LHX5-AS1, OTP, LHX1, EBF3, S100A10, ZPLD1, ECEL1, LINC02520, AL359915.1, TRPC7","Pons: 39.4%, Cerebellum: 34.7%, Midbrain: 21.7%","Human CbDN: 34.7%, Human DTg: 24.0%, Human PTR: 8.7%"
363,NEUR,,CHGA CHGB CRH NAMPT NUCB NXPH PENK PNOC SCG SST UBL proSAAS,"EBF2, EBF3, AC009081.2, EOMES, CNGA3, AC092675.1, AC079160.1, GLP1R, ST8SIA6, CPA6","Thalamus: 64.4%, Basal forebrain: 20.9%, Hypothalamus: 7.4%","Human ANC: 64.2%, Human SEP: 20.8%, Human BNST: 6.7%"
364,NEUR,,ADCYAP CBLN CHGA CHGB NAMPT NUCB NXPH SCG TAC UBL VGF proSAAS,"TFAP2D, LHX9, LINC01956, HNF4G, TMEM176B, LINC01568, AL138720.1, IRX2, WDR72, ZFHX4-AS1","Midbrain: 99.6%, Thalamus: 0.2%, Medulla: 0.1%","Human IC: 97.5%, Human SC: 1.7%, Human PTR: 0.2%"
365,NEUR,,ADCYAP CBLN CHGA CHGB NAMPT NUCB NXPH PENK SCG TAC UBL VGF proSAAS,"SLC6A5, GLRA1, ONECUT1, LHX5-AS1, MAB21L2, LHX1, LINC01933, ASAH2, KLHL1, IGDCC4","Pons: 43.0%, Midbrain: 30.2%, Medulla: 17.1%","Human DTg: 13.8%, Human PnEN: 12.8%, Human MoRF-MoEN: 11.6%"
