cluster_id,class_auto,subtype_auto,neuropeptide_auto,top_enriched_genes,top_regions,top_dissections
436,NEUR,,CBLN CHGA CHGB IGF NAMPT NPPC NUCB NXPH SCG UBL VGF proSAAS,"HMCN1, LINC01210, OTX2, SOX14, DMBX1, AC246817.2, OTX2-AS1, AC245123.1, AL133493.1, AC007159.1","Thalamus: 82.2%, Midbrain: 17.5%, Hypothalamus: 0.1%","Human LG: 28.3%, Human Pul: 26.3%, Human SC: 7.5%"
437,NEUR,,CBLN CHGA CHGB IGF NAMPT NPPC NUCB NXPH SCG UBL VGF proSAAS,"AC245123.1, OTX2-AS1, LINC01210, OTX2, AC245187.2, AC246817.2, DMBX1, AL133493.1, GATA3, CASR","Thalamus: 85.5%, Midbrain: 13.8%, Pons: 0.5%","Human Pul: 19.7%, Human ETH: 12.5%, Human MD: 11.9%"
438,NEUR,,CBLN CHGA CHGB IGF NAMPT NPPC NUCB NXPH SCG TAC UBL VGF proSAAS,"AC008163.1, AL161757.4, LINC01210, OTX2, OTX2-AS1, DMBX1, CASR, AL137100.3, SOX14, GATA3","Midbrain: 44.9%, Thalamus: 38.0%, Hypothalamus: 8.8%","Human SN-RN: 11.6%, Human CM-Pf: 8.9%, Human PAG: 7.1%"
439,NEUR,,CBLN CHGA CHGB IGF NAMPT NPPC NUCB NXPH SCG UBL proSAAS,"DMBX1, OTX2-AS1, OTX2, LINC01210, GATA3, AC008163.1, AL161757.4, LINC02055, SOX14, PRSS12","Midbrain: 52.8%, Thalamus: 31.3%, Pons: 10.7%","Human SC: 11.2%, Human PAG: 10.3%, Human PTR: 9.4%"
440,NEUR,,CBLN CHGA CHGB IGF NAMPT NPPC NUCB NXPH PRL SCG UBL proSAAS,"AC008163.1, OTX2-AS1, DMBX1, AL161757.4, OTX2, AL137100.3, LINC01210, CASR, GATA3, SOX14","Thalamus: 87.1%, Midbrain: 10.2%, Pons: 1.9%","Human ETH: 15.2%, Human Pul: 11.7%, Human MD: 10.5%"
441,NEUR,,CBLN CHGA CHGB IGF NAMPT NPPC NUCB PRL SCG UBL proSAAS,"DMBX1, OTX2-AS1, AC008163.1, AL161757.4, OTX2, TSPAN12, AL137100.3, LINC01210, CASR, MYO3B","Thalamus: 89.9%, Midbrain: 8.8%, Pons: 0.7%","Human Pul: 15.3%, Human MD: 13.6%, Human ETH: 13.0%"
442,NEUR,,CBLN CHGA CHGB IGF NAMPT NPPC NUCB NXPH PRL SCG UBL proSAAS,"AL137100.3, CASR, AL161757.4, OTX2-AS1, OTX2, DMBX1, TSPAN12, LINC01210, NPSR1, VASH2","Thalamus: 99.1%, Midbrain: 0.8%, Pons: 0.1%","Human Pul: 22.3%, Human MD: 18.2%, Human LP: 13.8%"
443,NEUR,,CBLN CHGA CHGB IGF NAMPT NPPC NUCB NXPH SCG UBL VGF proSAAS,"CASR, LINC01210, OTX2-AS1, OTX2, AL133493.1, AL161757.4, AL137100.3, NPPC, DMBX1, SOX14","Thalamus: 98.3%, Midbrain: 1.6%, Pons: 0.1%","Human Pul: 26.6%, Human MD: 14.7%, Human LP: 13.7%"
444,NEUR,,CBLN CHGA CHGB IGF NAMPT NPPC NUCB NXPH PRL SCG UBL VGF proSAAS,"OTX2-AS1, DMBX1, OTX2, CASR, NPPC, AL137100.3, AL161757.4, AL133493.1, LINC01210, LINC02253","Thalamus: 83.2%, Midbrain: 14.0%, Pons: 1.9%","Human LG: 57.2%, Human Pul: 4.7%, Human MD: 4.2%"
445,,,ADCYAP CALCB CART CHGA CHGB CRH NAMPT NUCB SCG UBL VGF proSAAS,"LINC01491, AL355612.1, DCDC2C, AC092078.3, LCP1, SHOX2, CHRNA2, FZD10-AS1, VEGFC, DEFB1","Thalamus: 99.3%, Hippocampus: 0.7%, Cerebral cortex: 0.0%","Human LG: 98.5%, Human MG: 0.7%, Human DGR-CA4Rpy: 0.7%"
446,,,ADCYAP CART CHGA CHGB CRH NAMPT NUCB SCG UBL VGF proSAAS,"DCDC2C, AL355612.1, LINC01491, AC092078.3, SHOX2, AC044810.3, DEFB1, LCP1, AC092078.2, PPP1R17","Thalamus: 99.9%, Hippocampus: 0.0%, Midbrain: 0.0%","Human LG: 99.9%, Human PAG-DR: 0.0%, Human LP: 0.0%"
447,,,ADCYAP CHGA CHGB CRH NAMPT NUCB SCG UBL VGF proSAAS,"SHOX2, PVALB, CHRNA2, AL355612.1, DEFB1, AP001605.1, DCDC2C, PPP1R17, TGFBR2, LINC01695","Thalamus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%","Human LG: 98.6%, Human Pul: 0.6%, Human VPL: 0.2%"
448,NEUR,,ADCYAP ADM CBLN CHGA CHGB CRH NAMPT NTS NUCB NXPH PTHLH PYY SCG UBL UCN VGF proSAAS,"CASQ2, AC093298.2, GDNF, CHRNA2, AL033530.1, FAM20A, TAFA4, MATN3, ST8SIA6, COL4A4","Thalamus: 99.7%, Amygdala: 0.3%, Basal forebrain: 0.0%","Human VLN: 59.6%, Human CM-Pf: 18.2%, Human LP: 13.2%"
449,,,ADCYAP ADM CART CBLN CHGA CHGB CRH NAMPT NMU NTS NUCB NXPH PTHLH SCG UBL VGF proSAAS,"CASQ2, RGS16, AC105213.1, MATN3, FAM20A, SHOX2, TAFA4, NTS, IRAG1, VANGL1","Thalamus: 98.7%, Amygdala: 1.0%, Midbrain: 0.3%","Human LP: 53.9%, Human ANC: 23.2%, Human Pul: 7.5%"
450,,,ADCYAP ADM CART CBLN CCK CHGA CHGB CRH NAMPT NMU NTS NUCB NXPH PTHLH SCG UBL UCN VGF proSAAS,"CASQ2, RGS16, AC016766.1, SHOX2, GDNF, TGFBR2, FAM20A, VANGL1, IRAG1, LINC00868","Thalamus: 99.9%, Basal forebrain: 0.0%, Hypothalamus: 0.0%","Human MD: 45.8%, Human ANC: 20.8%, Human ETH: 14.5%"
451,,,ADCYAP ADM CART CBLN CCK CHGA CHGB CRH GAL NAMPT NMU NTS NUCB NXPH PNOC PTHLH SCG UBL UCN VGF proSAAS,"CASQ2, AC016766.1, LINC00868, RGS16, C2orf83, TGFBR2, CYP27C1, AC106874.1, AOX2P, SHOX2","Thalamus: 99.9%, Midbrain: 0.1%, Hypothalamus: 0.0%","Human MD: 29.1%, Human ETH: 20.1%, Human ANC: 18.7%"
452,,,ADCYAP ADM CART CBLN CHGA CHGB CRH NAMPT NTS NUCB SCG UBL VGF proSAAS,"PVALB, ST8SIA6-AS1, PPP1R17, RGS16, SHOX2, TGFBR2, DEFB1, CASQ2, ITM2A, ST8SIA6","Thalamus: 98.9%, Midbrain: 1.1%, Amygdala: 0.0%","Human LG: 73.7%, Human VPL: 7.2%, Human MG: 6.6%"
453,,,ADCYAP CART CBLN CCK CHGA CHGB CRH GAL NAMPT NMU NTS NUCB NXPH PNOC PTHLH SCG UBL VGF proSAAS,"CARTPT, CASQ2, ST8SIA6-AS1, PLEKHG4B, RGS16, LEF1, PVALB, PPP1R17, CYP27C1, LINC00868","Thalamus: 82.7%, Midbrain: 17.3%, Cerebral cortex: 0.0%","Human LG: 29.5%, Human MG: 24.7%, Human PTR: 14.4%"
454,,,ADCYAP ADM CART CBLN CCK CHGA CHGB CRH GAL NAMPT NMU NUCB NXPH SCG UBL VGF proSAAS,"RGS16, ST8SIA6-AS1, AP000331.1, AL162718.1, ST8SIA6, LEF1, VANGL1, LINC00868, CYP27C1, MATN3","Thalamus: 99.5%, Midbrain: 0.5%, Cerebral cortex: 0.0%","Human Pul: 76.9%, Human LP: 8.6%, Human ETH: 7.5%"
455,NEUR,,ADCYAP ADM CART CBLN CCK CHGA CHGB CRH GAL NAMPT NMU NUCB NXPH SCG UBL UCN VGF proSAAS,"AC037486.1, LINC01151, SMILR, MATN3, FSHR, COL6A5, CYP27C1, CLEC3A, ITIH5, AC012535.1","Thalamus: 97.9%, Midbrain: 2.1%, Cerebral cortex: 0.0%","Human Pul: 40.5%, Human ETH: 38.2%, Human MD: 5.5%"
456,NEUR,,ADCYAP CART CBLN CCK CHGA CHGB CRH NAMPT NUCB NXPH SCG UBL VGF proSAAS,"ST8SIA6, AC012535.1, AC093334.1, ST8SIA6-AS1, AP000331.1, AC006487.1, SHOX2, ANXA3, AC087482.1, VANGL1","Thalamus: 99.8%, Hippocampus: 0.2%, Cerebral cortex: 0.0%","Human LG: 92.5%, Human Pul: 3.7%, Human MG: 2.0%"
457,NEUR,,ADCYAP CART CHGA CHGB CRH NAMPT NMU NTS NUCB NXPH PYY SCG UBL UCN VGF proSAAS,"LINC01036, SPTLC3, AC105213.1, SHOX2, LINC00922, NTS, TGFBI, AC082650.2, AC068989.1, LHX9","Thalamus: 98.3%, Amygdala: 1.4%, Cerebral cortex: 0.3%","Human ANC: 93.9%, Human ETH: 1.7%, Human BNST: 1.4%"
458,NEUR,,ADCYAP ADM CART CBLN CCK CHGA CHGB CRH GAL NAMPT NMU NTS NUCB NXPH PTHLH SCG UBL UCN VGF proSAAS,"SPTLC3, NTS, COL6A5, AC105213.1, AL033530.1, CCDC141, CYP27C1, LINC02775, LHX9, ADGRG6","Thalamus: 93.6%, Midbrain: 6.4%, Amygdala: 0.0%","Human ETH: 22.6%, Human MD: 19.4%, Human ANC: 18.3%"
459,NEUR,,ADCYAP CBLN CCK CHGA CHGB NAMPT NMU NTS NUCB NXPH PTHLH SCG UBL VGF proSAAS,"SLC15A1, COL6A5, LHX9, FSHR, LINC01997, SLITRK6, AC069410.1, GBX2, RERGL, CYP27C1","Thalamus: 89.9%, Amygdala: 9.2%, Midbrain: 0.6%","Human MD: 26.0%, Human CM-Pf: 20.8%, Human ANC: 20.7%"
460,NEUR,,ADCYAP ADM CBLN CCK CHGA CHGB GAL NAMPT NMU NUCB NXPH SCG UBL VGF proSAAS,"LINC01239, DMRTA1, MUC7, AC092445.1, AL159156.1, LINC01151, AC037486.1, ITIH5, SMILR, COL6A5","Thalamus: 98.9%, Midbrain: 0.9%, Cerebral cortex: 0.1%","Human CM-Pf: 41.9%, Human CM: 30.5%, Human ETH: 13.0%"
